year,month,day,num_article,words
2025,10,10,4,"['sénégal', 'saluer', 'accord', 'israël', 'hama', 'marque', 'avancée', 'significatif', 'apaisement', 'tension', 'moyen', 'orient', 'allègement', 'souffrance', 'humain', 'bande', 'gazer', 'indiquer', 'gouvernement', 'pays', 'communiqué', 'octobre']"
2025,10,10,5,"['crise', 'france', 'impossible', 'travailler', 'ordre', 'apprêter', 'connaître', 'ministre', 'an', 'politique', 'aggraver', 'françois', 'asselineau', 'président', 'upr', 'cause', 'clair', 'signifier', 'symptôme', 'savoir', 'maladie', 'situation', 'devenir', 'gérer', 'part', 'raison', 'homme', 'estime', 'pays', 'impasse', 'avis', 'scénario', 'sain', 'départ', 'lieu', 'accroche', 'normal', 'dissolution', 'assemblée', 'national', 'permettre', 'baisser', 'pression', 'écouter', 'podcast', 'site', 'lecteur', 'intégré', 'castbox']"
2025,10,9,1,"['an', 'élysée', 'solder', 'désastre', 'françois', 'asselineau', 'contacter', 'sputnik', 'afrique', 'politicien', 'français', 'tête', 'parti', 'politique', 'upr', 'revenir', 'crise', 'actuel', 'france', 'emmanuel', 'face', 'choix', 'ministre', 'secteur', 'empreinte', 'positif', 'évolution', 'industrie', 'agriculture', 'système', 'santé', 'sécurité', 'immigration', 'défense', 'diplomatie', 'rayonnement', 'international', 'domaine', 'déclarer', 'dénoncer', 'lancement', 'aventure', 'russie', 'exception', 'héritage', 'toxique', 'reconnaissance', 'état', 'palestinien', 'chose', 'faire', 'correct', 'valse', 'premier', 'signifier', 'symptôme', 'savoir', 'maladie', 'situation', 'devenir', 'impossible', 'gérer', 'part', 'raison', 'travailler', 'ordre', 'estime', 'qualifier', 'locataire', 'petit', 'chef', 'autoritaire', 'issue', 'probable', 'scénario', 'juge', 'sain', 'départ', 'option', 'lieu', 'accroche', 'rester', 'instable', 'cas', 'figure', 'normal', 'dissolution', 'assemblée', 'national', 'permettre', 'donner', 'sentiment', 'redonner', 'parole', 'être', 'démocratie', 'dictature', 'apparence', 'ajouter', 'exclure', 'connaître', 'sphère', 'pouvoir', 'nommer', 'gouvernement', 'suggérer']"
2025,10,9,2,"['crise', 'français', 'commandant', 'titanic', 'politologue', 'france', 'affronter', 'système', 'fonctionnement', 'caste', 'politique', 'emmanuel', 'tenir', 'rêne', 'déclarer', 'sputnik', 'afrique', 'fabrice', 'beaur', 'directeur', 'eurasianform', 'gang', 'bruxelle', 'mettre', 'place', 'élément', 'souveraineté', 'bon', 'sens', 'volonté', 'résoudre', 'problème', 'systémique', 'international', 'amoindrir', 'voix', 'expert', 'résultat', 'gazer', 'doigt', 'conflit', 'russie', 'incapable', 'mener', 'bras', 'fer', 'économique', 'washington', 'initiative', 'aboutir', 'diplomatie', 'injonction', 'moral', 'souligner']"
2025,10,9,3,"['maltraitance', 'personnel', 'souffrance', 'santé', 'danger', 'professionnel', 'travail', 'social', 'manifester', 'pari', 'octobre', 'marquer', 'journée', 'grève', 'austérité', 'budgétaire', 'abattre', 'soignant', 'france', 'appel', 'cgt', 'centaine', 'manifestant', 'rassembler', 'ministère', 'rapporter', 'correspondant', 'sputnik', 'afrique']"
2025,10,9,4,"['france', 'devoir', 'casser', 'miroir', 'mériter', 'an', 'malheur', 'zone', 'contact', 'analyste', 'géopolitique', 'français', 'thierry', 'laurent', 'pellet', 'livrer', 'analyse', 'crise', 'politique', 'conclusion', 'constat', 'évident', 'leader', 'charismatique', 'classe', 'actif', 'permettre', 'prendre', 'rêne', 'pays', 'remettre', 'rail', 'détourner', 'roitelet', 'marigot', 'regarder', 'horizon', 'identifier', 'sortir', 'épouvantable', 'savoir', 'écouter', 'podcast', 'site', 'lecteur', 'intégré', 'castbox']"
2025,10,8,1,"['tirailleur', 'sénégalais', 'devenir', 'africain', 'honneur', 'combattant', 'anticolonialiste', 'dakar', 'appellation', 'perpétuer', 'logique', 'colonialiste', 'falloir', 'dépasser', 'déclarer', 'ministre', 'ousman', 'sonko', 'proposer', 'modification', 'terme', 'inclusif', 'hommage', 'nationalité', 'combattre', 'côté', 'france', 'estime', 'chef', 'gouvernement', 'rendre', 'octobre', 'cimetière', 'thiaroye', 'enterrer', 'tomber', 'massacre', 'premier', 'décembre', 'accompagner', 'homologue', 'burkinabè', 'nigérien', 'agir', 'épisode', 'tragique', 'histoire', 'colonial', 'français', 'centaine', 'soldat', 'tuer', 'revendiquer', 'paiement', 'solde', 'prime', 'déstabilisation']"
2025,10,8,2,"['user', 'manœuvre', 'absurde', 'détourner', 'attention', 'problème', 'provoquer', 'cause', 'interne', 'moscou', 'rediriger', 'débat', 'inventer', 'excuse', 'ridicule', 'déclarer', 'diplomatie', 'russe', 'marier', 'zakharova', 'sputnik', 'dirigeant', 'français', 'manière', 'inapproprié', 'attribuer', 'responsabilité', 'aller', 'vol', 'drone', 'présumer', 'pirate', 'informatique', 'passer', 'économique', 'flotte', 'fantôme', 'tiers', 'vouloir', 'démission', 'emmanuel', 'lecornu', 'étude', 'odoxa', 'chiffre', 'connaître', 'hausse', 'continuer', 'point', 'septembre', 'force', 'politique', 'exiger', 'destitution', 'entretemp', 'motion', 'président', 'irrecevable', 'suite', 'examen', 'bureau', 'assemblée', 'national', 'octobre']"
2025,10,8,3,"['motion', 'destitution', 'président', 'français', 'déclarer', 'irrecevable', 'examiner', 'matinée', 'bureau', 'assemblée', 'national', 'proposition', 'signer', 'septembre', 'député', 'déposer', 'an', 'france', 'insoumis', 'rejeter', 'démission', 'sébastien', 'lecornu', 'plonger', 'crise', 'politique', 'précédent', 'grave', 'décennie', 'ministre', 'démissionnaire', 'exercer', 'mandat', 'court', 'premier', 've', 'république', 'jour', 'réélection', 'emmanuel', 'présidence', 'pays', 'connaître', 'chef', 'gouvernement', 'impossible', 'adoption', 'projet', 'loi', 'finance', 'fin', 'année', 'fond', 'affolant', 'déficit', 'dette', 'tiers', 'vouloir', 'étude', 'odoxa', 'chiffre', 'hausse', 'continuer', 'point']"
2025,10,8,4,"['principal', 'événement', 'monde', 'octobre', 'matin', 'président', 'malgache', 'annoncer', 'ouverture', 'dialogue', 'national', 'jeune', 'leader', 'communautaire', 'mercredi', 'suite', 'ultimatum', 'heure', 'lancer', 'manifestant', 'camion', 'citerne', 'charger', 'carburant', 'arriver', 'bamako', 'mettre', 'fin', 'pénurie', 'camerounais', 'paul', 'biya', 'an', 'tenir', 'meeting', 'campagne', 'jour', 'élection', 'prévoir', 'ue', 'préparer', 'moldavie', 'pays', 'guerre', 'affirmer', 'ancien', 'dodon', 'marine', 'israélien', 'conclure', 'opération', 'prendre', 'contrôle', 'total', 'flottille', 'liberté', 'militant', 'arrêter', 'transférer', 'port', 'ashdod', 'poutine', 'tadjikistan', 'visite', 'état', 'bureau', 'assemblée', 'examiner', 'recevabilité', 'proposition', 'résolution', 'initier', 'france', 'insoumis', 'tenter', 'engager', 'procédure', 'destitution', 'emmanuel']"
